0707,"Bl. Benedict XI","friar and pope","OM"
0708,"Bl. Adrian Fortescue","lay Dominican, Husband and martyr","OM"
0713,"Bl. James of Varazze","friar and bishop","OM"
0717,"Bl. Ceslaus of Poland","friar and priest","OM"
0718,"Bl. Bartholemew Fernandes dos Mártires","friar and bishop","OM"
0724,"Bl. Jane of Orvieto","lay Dominican and virgin","OM"
0724,"Bl. Augustine of Biella","friar and priest","OM"
0727,"Bl. Robert Nutter","friar, priest and martyr","OM"
0803,"Bl. Augustine Kažotić of Lucera","friar and bishop","OM"
0809,"Bl. John of Salerno","friar and priest","OM" # 9 or 12
0812,"Bl. Jean-Georges (Thomas) Rehm","friar and priest, martyr","OM"
0813,"St. Alessandro Longo;companions","first and priest;martyrs","OM"
0814,"Bl. Aimo Tapparelli","friar and priest","OM" # 12 or 14
0819,"Bl. Jordan de Rivalto of Pisa","friar and priest","OM"
0826,"Bl. James Bianconi of Bevagna","friar and priest","OM"
0902,"Bl. Guala of Bergamo","friar and bishop","OM"
0902,"Bl. Ingrid Skänninge,"widow and nun","OM"
0904,"Bl. Catherine Mattei of Racconigi","lay Dominican and virgin","OM"
0906,"Bl. Bertrand of Garrigue","friar and priest","OM"
0906,"Bb. Michael (John Francis) Czartorysky;Julia Stanislava Rodzińska","priest;virgin and sister, martyrs in Poland","OM"
0907,"Bl. Jean Joseph Lataste","friar and priest","OM"
0919,"Bl. Pio Alberto del Corona","friar and bishop","OM"
0920,"Bl. Francis Posadas","friar and priest","OM" # 20 or 22
0920,"Bl. Mark Scalabrini of Modena","friar and priest","OM" # 20 or 25
0924,"Bl. Dalmatius Moner","friar and priest","OM"
0928,"Bl. Lawrence of Ripafratta","friar and priest","OM" # 26 or 28
1003,"Bl. Dominic Spadafora","friar and priest","OM"
1006,"Bl. Bartolo Longo","lay Dominican","OM"
1008,"Bl. Ambrose Sansedoni","friar and priest","OM"
1008,"Bl. Matthew Carreri","friar and priest","OM"
1011,"Bl. James Griesinger of Ulm","friar and religious","OM"
1013,"Bl. Magdalen Pannatieri","lay Dominican and virgin","OM"
1014,"Bl. Mary Poussepin","sister and virgin","OM"
1019,"Bl. Agnes of Jesus Galand","nun and virgin","OM"
1021,"Bl. Peter Capucci of Città di Castello","friar and priest","OM"
1025,"Bl. Peter of Geremia","friar and priest","OM"
1026,"Bl. Damian Furcheri of Finale","friar and priest","OM"
1027,"Bl. Bartholomew of Vicenza","friar and bishop","OM"
1030,"Bl. Benvenuta Bojani","lay Dominican and virgin","OM"
1030,"Bb. Terence Albert O’Brien;Peter Higgins","bishop;priest, martyrs in Ireland","OM"
1105,"Bl. Simon Ballachi","friar and religious","OM"
1114,"Bl. John Liccio","friar and priest","OM"
1114,"Bl. Lucy Broccadelli of Narni","virgin and sister","OM"
1119,"St. Maria-Alphonsina Danil Ghattas","virgin and sister","OM"
1119,"Bl. James Benefatti","friar and bishop","OM"
1124,"Bl. Margaret of Savoy","nun and widow","OM" # 24 or 27
1201,"Bl. John of Vercelli","friar, priest and Master of the Order","OM"
1209,"St. Narcisa de Jesús Martillo Morán","lay Dominican and virgin","OM"
1216,"Bl. Sebastian Maggi","friar and priest","OM"
